#{"t_start": 1774350573.172204, "env_id": "None"}
r,l,t
-50.0,50,1.798026
-50.0,50,1.813231
-50.0,50,2.520868
-50.0,50,3.154885
-50.0,50,3.804073
-50.0,50,4.43235
-50.0,50,5.12453
-50.0,50,5.768621
-50.0,50,6.405721
-50.0,50,7.062364
-50.0,50,7.711901
-50.0,50,8.375809
-50.0,50,9.007166
-50.0,50,9.643336
-50.0,50,10.274052
-50.0,50,10.895952
-50.0,50,11.525577
-50.0,50,12.167102
-50.0,50,12.802622
-50.0,50,13.431605
-50.0,50,14.060859
-50.0,50,14.693805
-49.0,50,15.331705
-50.0,50,15.958497
-50.0,50,16.586278
-50.0,50,17.251544
-49.0,50,17.895488
-50.0,50,18.520546
-50.0,50,19.149114
-49.0,50,19.786852
-49.0,50,20.421247
-46.0,50,21.044812
-49.0,50,21.71221
-50.0,50,22.346777
-50.0,50,22.984673
-42.0,50,23.611344
-50.0,50,24.252057
-47.0,50,24.887343
-50.0,50,25.582547
-49.0,50,26.382479
-50.0,50,27.009831
-43.0,50,27.644109
-47.0,50,28.284141
-50.0,50,28.901621
-50.0,50,29.534795
-49.0,50,30.16728
-43.0,50,30.797935
-43.0,50,31.416236
-50.0,50,32.040419
-50.0,50,32.681731
-20.0,50,33.314172
-29.0,50,33.932345
-43.0,50,34.558701
-45.0,50,35.214298
-32.0,50,35.887407
-47.0,50,36.52438
-27.0,50,37.158447
-41.0,50,37.793583
-28.0,50,38.42162
-24.0,50,39.060167
-37.0,50,39.721589
-43.0,50,40.35203
-25.0,50,40.989435
-46.0,50,41.621211
-24.0,50,42.284604
-50.0,50,42.947864
-42.0,50,43.602086
-14.0,50,44.228821
-13.0,50,44.897458
-21.0,50,45.535481
-30.0,50,46.164135
-33.0,50,46.790742
-3.0,50,47.426742
-36.0,50,48.067493
-13.0,50,48.705007
-50.0,50,49.334995
-11.0,50,49.983718
-18.0,50,50.653032
-34.0,50,51.290394
-28.0,50,51.928933
-9.0,50,52.554423
-19.0,50,53.195013
-17.0,50,53.830762
-19.0,50,54.454257
-15.0,50,55.089318
-13.0,50,55.727053
-31.0,50,56.359039
-42.0,50,56.978341
-30.0,50,57.616716
-11.0,50,58.255424
-37.0,50,58.886774
-22.0,50,59.51438
-1.0,50,60.13969
-26.0,50,60.774576
-9.0,50,61.406476
-22.0,50,62.029759
-17.0,50,62.672967
-20.0,50,63.397985
-10.0,50,64.042803
-22.0,50,64.676009
-6.0,50,66.149058
-15.0,50,66.777837
-37.0,50,67.412423
-36.0,50,68.051081
-30.0,50,68.69728
-15.0,50,69.331347
-6.0,50,69.962314
-12.0,50,70.590632
-10.0,50,71.269239
-15.0,50,71.908175
-24.0,50,72.544564
-12.0,50,73.181994
-8.0,50,73.813512
-19.0,50,74.447243
-29.0,50,75.082358
-19.0,50,75.709108
-16.0,50,76.343797
-11.0,50,76.988068
-22.0,50,77.618007
-13.0,50,78.249359
-23.0,50,78.877733
-10.0,50,79.527279
-16.0,50,80.161558
-13.0,50,80.788115
-11.0,50,81.421272
-5.0,50,82.0609
-14.0,50,82.701456
-11.0,50,83.33719
-9.0,50,83.974006
-16.0,50,84.6518
-16.0,50,85.303586
-19.0,50,85.938145
-8.0,50,86.586416
-6.0,50,87.22145
-15.0,50,87.86618
-15.0,50,88.49231
-10.0,50,89.120487
-4.0,50,89.770319
-14.0,50,90.433956
-5.0,50,91.059255
-23.0,50,91.692843
-11.0,50,92.329482
-13.0,50,92.971653
-8.0,50,93.632072
-5.0,50,94.304294
-9.0,50,94.94492
-8.0,50,95.613135
-7.0,50,96.242681
-11.0,50,96.892127
-39.0,50,97.568367
-9.0,50,98.225353
-11.0,50,98.906223
-7.0,50,99.546279
-16.0,50,100.191095
-7.0,50,100.851316
-13.0,50,101.504634
-13.0,50,102.159121
-9.0,50,102.834754
-10.0,50,103.473171
-11.0,50,104.10319
-19.0,50,104.748437
-11.0,50,105.381644
-12.0,50,106.029215
-9.0,50,106.71024
-7.0,50,107.342608
-18.0,50,107.992387
-8.0,50,108.633305
-13.0,50,109.263195
-6.0,50,109.898452
-9.0,50,110.537099
-5.0,50,111.173464
-12.0,50,111.798179
-12.0,50,112.427658
-13.0,50,113.071158
-5.0,50,113.709822
-4.0,50,114.339635
-11.0,50,114.978029
-10.0,50,115.616191
-5.0,50,116.247899
-22.0,50,116.874301
-14.0,50,117.51019
-31.0,50,118.153613
-10.0,50,118.789144
