iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
1,8192,-108.6811,50.0,0.0000,2.1820,-0.002366,385.249170,4.216560,0.006820,3007,2.7
2,16384,-110.5158,50.0,0.0000,2.2273,-0.002416,365.721615,4.194475,0.004089,3621,4.5
3,24576,-111.1627,50.0,0.0000,2.1729,-0.002157,356.187582,4.177990,0.004193,3896,6.3
4,32768,-114.7260,50.0,0.0000,2.2988,-0.003669,342.383772,4.110577,0.004905,4057,8.1
5,40960,-110.2844,50.0,0.0000,2.2423,-0.004131,322.455287,4.066483,0.004799,4160,9.8
6,49152,-110.0269,50.0,0.0000,2.0355,-0.003544,317.409639,4.008269,0.006527,4231,11.6
7,57344,-110.5582,50.0,0.0000,2.2037,-0.003303,334.029564,3.963494,0.009115,4266,13.4
8,65536,-110.3793,50.0,0.0000,2.2125,-0.002400,333.822713,3.925434,0.007567,4292,15.3
9,73728,-104.5094,50.0,0.0000,2.0117,-0.004014,314.214716,3.891442,0.005732,4322,17.1
10,81920,-107.8267,50.0,0.0000,2.1054,-0.003175,319.300271,3.864365,0.007811,4347,18.8
11,90112,-104.9666,50.0,0.0000,2.0502,-0.005552,281.018540,3.840555,0.006787,4366,20.6
12,98304,-105.5612,50.0,0.0000,2.0514,-0.004164,283.311754,3.815343,0.007100,4385,22.4
13,106496,-94.9767,50.0,0.0000,1.7301,-0.005862,237.894295,3.800220,0.006619,4402,24.2
14,114688,-99.8723,50.0,0.0000,1.9630,-0.005343,256.446410,3.773154,0.006018,4417,26.0
15,122880,-97.3332,50.0,0.0000,1.7923,-0.002475,247.952598,3.740079,0.010704,4429,27.7
16,131072,-96.1124,50.0,0.0000,1.9324,-0.002455,244.556330,3.722764,0.008778,4438,29.5
17,139264,-99.5202,50.0,0.0000,1.9941,-0.000675,244.910314,3.709763,0.011140,4447,31.3
18,147456,-93.2938,50.0,0.0000,1.8282,-0.007095,236.423856,3.688344,0.007012,4454,33.1
19,155648,-101.2858,50.0,0.0000,1.8945,-0.003738,249.685775,3.668661,0.009800,4462,34.9
20,163840,-89.3818,50.0,0.0000,1.5959,-0.005114,206.514199,3.657885,0.007635,4470,36.7
21,172032,-88.5401,50.0,0.0000,1.6558,-0.005583,194.324443,3.662348,0.008848,4474,38.4
22,180224,-91.1331,50.0,0.0000,1.5686,-0.006566,215.926879,3.659137,0.006896,4478,40.2
23,188416,-92.3058,50.0,0.0000,1.6284,-0.005645,206.380681,3.647175,0.006950,4483,42.0
24,196608,-83.0157,50.0,0.0100,1.4231,-0.004058,185.296693,3.625760,0.008893,4488,43.8
25,204800,-84.7521,50.0,0.0100,1.5265,-0.005789,179.502634,3.620609,0.007382,4491,45.6
26,212992,-90.2398,50.0,0.0000,1.5499,-0.006235,197.280761,3.609822,0.007446,4495,47.4
27,221184,-76.8626,50.0,0.0000,1.2652,-0.007005,148.834969,3.595652,0.008562,4498,49.2
28,229376,-83.5520,50.0,0.0100,1.3346,-0.005720,154.869035,3.573057,0.009062,4501,51.0
29,237568,-81.8371,50.0,0.0000,1.3965,-0.006200,145.554391,3.551745,0.006648,4503,52.8
30,245760,-77.4813,50.0,0.0100,1.3205,-0.002491,140.890266,3.533966,0.011632,4504,54.6
31,253952,-75.2379,50.0,0.0100,1.1799,0.000357,133.727668,3.515189,0.013753,4507,56.3
32,262144,-78.4180,50.0,0.0000,1.2774,-0.004748,137.935289,3.480726,0.009876,4510,58.1
33,270336,-71.1408,50.0,0.0000,1.1504,-0.006648,128.224925,3.464994,0.007002,4509,59.9
34,278528,-75.0850,50.0,0.0000,1.1936,-0.004590,121.020949,3.447402,0.009509,4512,61.7
35,286720,-71.3432,50.0,0.0000,1.1957,-0.002093,112.140967,3.449783,0.013194,4501,63.7
36,294912,-70.8840,50.0,0.0100,1.1290,-0.000253,103.327466,3.438354,0.014198,4499,65.5
37,303104,-72.2716,50.0,0.0000,1.0506,-0.003324,110.386393,3.430208,0.011501,4502,67.3
38,311296,-71.8021,50.0,0.0000,1.0990,-0.004119,106.832502,3.414325,0.013207,4505,69.1
39,319488,-69.2509,50.0,0.0000,1.0752,0.002875,102.516557,3.402474,0.020662,4500,71.0
40,327680,-68.7213,50.0,0.0000,1.0417,0.007627,99.899891,3.368619,0.024035,4500,72.8
41,335872,-66.6996,50.0,0.0000,1.1209,-0.004620,104.435434,3.353549,0.009845,4495,74.7
42,344064,-65.2428,50.0,0.0000,0.8676,-0.002686,87.948392,3.355922,0.014328,4494,76.6
43,352256,-65.9322,50.0,0.0100,1.0067,-0.000441,88.317878,3.338810,0.015339,4494,78.4
44,360448,-62.6180,50.0,0.0000,0.9779,-0.001271,78.400961,3.316212,0.015897,4494,80.2
45,368640,-62.0014,50.0,0.0100,0.8953,-0.001789,77.401868,3.328332,0.014829,4492,82.1
46,376832,-60.0012,50.0,0.0000,0.8212,-0.005589,70.924556,3.316630,0.012007,4492,83.9
47,385024,-59.6653,50.0,0.0000,0.8924,-0.005207,63.585922,3.294675,0.015118,4492,85.7
48,393216,-57.2365,50.0,0.0100,0.7539,-0.007975,64.877914,3.255853,0.012051,4492,87.5
49,401408,-58.7357,50.0,0.0000,0.9656,-0.004731,64.684136,3.236907,0.012771,4492,89.4
50,409600,-55.8837,50.0,0.0000,0.8398,-0.004887,61.451075,3.209606,0.016452,4491,91.2
51,417792,-53.8578,50.0,0.0000,0.7792,-0.007664,52.832018,3.181389,0.011040,4492,93.0
52,425984,-53.4306,50.0,0.0000,0.7200,-0.007144,53.117485,3.173784,0.012535,4490,94.9
53,434176,-57.7609,50.0,0.0000,0.8377,-0.002909,54.260987,3.163223,0.015543,4490,96.7
54,442368,-54.9280,50.0,0.0000,0.7887,-0.008594,56.067860,3.145455,0.012090,4488,98.6
55,450560,-54.7765,50.0,0.0000,0.7151,-0.008049,49.811917,3.126250,0.013079,4488,100.4
56,458752,-53.8282,50.0,0.0000,0.7674,-0.009346,52.982045,3.098277,0.012174,4489,102.2
