iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
1,1024,-109.5199,50.0,0.0000,2.3381,-0.011399,378.961892,4.254877,0.006823,879,1.2
2,2048,-110.2423,50.0,0.0000,2.2811,-0.003854,387.312331,4.247376,0.002642,982,2.1
3,3072,-114.2503,50.0,0.0000,2.2645,-0.000060,440.142820,4.243025,0.002081,1015,3.0
4,4096,-114.0327,50.0,0.0000,2.3021,-0.006357,375.502241,4.237609,0.004748,1032,4.0
5,5120,-113.1350,50.0,0.0000,2.3049,-0.004503,347.090004,4.219852,0.004311,1046,4.9
6,6144,-111.5843,50.0,0.0000,2.2543,-0.003618,302.031878,4.206881,0.003562,1052,5.8
7,7168,-110.9894,50.0,0.0000,2.2095,-0.005705,324.163815,4.198992,0.004648,1059,6.8
8,8192,-108.7960,50.0,0.0000,2.2090,-0.006723,356.474528,4.188709,0.005406,1065,7.7
9,9216,-108.3872,50.0,0.0000,2.1361,-0.010290,354.316439,4.178951,0.006303,1069,8.6
10,10240,-108.1147,50.0,0.0000,2.1320,-0.006553,310.926498,4.172838,0.004751,1069,9.6
11,11264,-110.0314,50.0,0.0000,2.1267,-0.003922,357.796107,4.173228,0.003718,1072,10.5
12,12288,-110.6709,50.0,0.0000,2.1494,-0.003794,309.901658,4.172266,0.003343,1072,11.5
13,13312,-111.3269,50.0,0.0000,2.2061,-0.002549,321.801167,4.168265,0.003110,1072,12.4
14,14336,-111.5945,50.0,0.0000,2.2634,-0.005536,336.039291,4.157958,0.003661,1066,13.4
15,15360,-113.4404,50.0,0.0000,2.2924,-0.006757,356.792006,4.148746,0.004350,1059,14.5
16,16384,-111.6214,50.0,0.0000,2.2179,-0.004601,290.932621,4.148012,0.002949,1059,15.5
17,17408,-111.4001,50.0,0.0000,2.2626,-0.005450,335.619894,4.148771,0.003397,1061,16.4
18,18432,-110.5593,50.0,0.0000,2.2130,-0.004669,300.694508,4.149208,0.003637,1063,17.3
19,19456,-109.3081,50.0,0.0000,2.1747,-0.004016,300.177884,4.148344,0.003052,1058,18.4
20,20480,-109.6995,50.0,0.0000,2.1861,-0.004139,357.630935,4.146934,0.002756,1058,19.4
21,21504,-112.0652,50.0,0.0000,2.2403,-0.006804,348.590834,4.147558,0.003892,1056,20.4
22,22528,-112.4251,50.0,0.0000,2.2050,-0.003435,301.492249,4.149918,0.002835,1054,21.4
23,23552,-113.5251,50.0,0.0000,2.2490,-0.006002,322.062336,4.151402,0.004242,1054,22.3
24,24576,-114.6526,50.0,0.0000,2.3257,-0.004550,309.742255,4.153814,0.003731,1054,23.3
25,25600,-112.7586,50.0,0.0000,2.3183,-0.004214,312.682497,4.151852,0.002193,1053,24.3
26,26624,-110.9475,50.0,0.0000,2.3311,-0.007345,298.012061,4.150346,0.003527,1053,25.3
27,27648,-110.0376,50.0,0.0000,2.2834,-0.004015,303.050902,4.148474,0.001692,1053,26.2
28,28672,-108.9595,50.0,0.0000,2.2340,-0.004198,276.496042,4.150548,0.002614,1053,27.2
29,29696,-106.1478,50.0,0.0000,2.1915,-0.003144,223.364048,4.149956,0.001637,1053,28.2
30,30720,-106.1072,50.0,0.0000,2.1898,-0.005349,270.805132,4.148253,0.004387,1053,29.2
31,31744,-106.8055,50.0,0.0000,2.1889,-0.004772,300.484377,4.147199,0.003630,1053,30.1
32,32768,-106.9644,50.0,0.0000,2.2133,-0.004276,275.012507,4.146359,0.001867,1053,31.1
33,33792,-107.0725,50.0,0.0000,2.2126,-0.004617,305.957971,4.146037,0.002638,1052,32.1
34,34816,-109.4163,50.0,0.0000,2.2078,-0.003907,278.111873,4.144633,0.002421,1052,33.1
35,35840,-109.2273,50.0,0.0000,2.2170,-0.005628,277.859315,4.144349,0.004097,1051,34.1
36,36864,-108.2960,50.0,0.0000,2.1545,-0.006046,270.561035,4.144992,0.003094,1052,35.0
37,37888,-108.2435,50.0,0.0000,2.1247,-0.004547,251.580448,4.143997,0.001998,1051,36.0
38,38912,-107.8913,50.0,0.0000,2.1880,-0.005706,253.660424,4.142774,0.004161,1051,37.0
39,39936,-108.6551,50.0,0.0000,2.1843,-0.004212,287.000990,4.140289,0.001794,1051,38.0
40,40960,-109.0796,50.0,0.0000,2.1830,-0.008246,261.694862,4.138370,0.004424,1051,39.0
41,41984,-108.8013,50.0,0.0000,2.1914,-0.008408,268.260240,4.137695,0.004751,1051,39.9
42,43008,-109.8935,50.0,0.0000,2.2453,-0.007408,329.753497,4.139494,0.003585,1050,40.9
43,44032,-109.9456,50.0,0.0000,2.1996,-0.009497,270.993990,4.140561,0.004442,1050,41.9
44,45056,-110.3792,50.0,0.0000,2.1894,-0.005518,285.151814,4.139527,0.003002,1050,42.9
45,46080,-110.5918,50.0,0.0000,2.2165,-0.004567,224.027736,4.140343,0.002609,1050,43.9
46,47104,-111.0851,50.0,0.0000,2.1964,-0.002519,285.868797,4.140297,0.000685,1050,44.8
47,48128,-108.0061,50.0,0.0000,2.1659,-0.005733,201.529966,4.138950,0.003176,1050,45.8
48,49152,-107.9487,50.0,0.0000,2.1532,-0.004449,260.641435,4.137734,0.002787,1050,46.8
49,50176,-105.4619,50.0,0.0000,2.1236,-0.005052,248.758358,4.136178,0.002452,1050,47.8
50,51200,-107.9418,50.0,0.0000,2.0944,-0.004023,275.999676,4.135059,0.001742,1050,48.8
51,52224,-105.5425,50.0,0.0000,2.0681,-0.006662,245.802896,4.135752,0.004371,1050,49.7
52,53248,-106.5428,50.0,0.0000,2.0778,-0.004649,227.153064,4.137073,0.002560,1050,50.7
53,54272,-106.4175,50.0,0.0000,2.0334,-0.004634,239.041862,4.139436,0.001998,1050,51.6
54,55296,-107.0894,50.0,0.0000,2.0713,-0.005235,236.867199,4.139098,0.003202,1050,52.6
55,56320,-107.6987,50.0,0.0000,2.1251,-0.004269,270.981617,4.137415,0.001979,1049,53.7
56,57344,-109.5826,50.0,0.0000,2.1245,-0.010040,258.966760,4.136683,0.005699,1049,54.6
57,58368,-111.0420,50.0,0.0000,2.2177,-0.008784,245.226907,4.139003,0.004385,1049,55.6
58,59392,-110.3131,50.0,0.0000,2.2601,-0.007939,223.061074,4.140221,0.004673,1050,56.6
59,60416,-109.7611,50.0,0.0000,2.1828,-0.006364,253.553312,4.140381,0.003705,1050,57.5
60,61440,-106.0920,50.0,0.0000,2.1479,-0.005527,198.329727,4.139852,0.003169,1050,58.5
61,62464,-104.1682,50.0,0.0000,2.0988,-0.004529,231.857960,4.138087,0.002436,1051,59.4
62,63488,-105.4938,50.0,0.0000,2.1105,-0.004893,244.972470,4.136577,0.002825,1052,60.3
63,64512,-106.7678,50.0,0.0000,2.1361,-0.009244,225.142509,4.135416,0.005783,1053,61.2
64,65536,-107.1100,50.0,0.0000,2.1786,-0.005264,233.389509,4.134699,0.002960,1054,62.2
65,66560,-108.7785,50.0,0.0000,2.2302,-0.004596,227.001472,4.134076,0.003128,1055,63.1
66,67584,-109.5891,50.0,0.0000,2.2477,-0.005451,250.051147,4.133354,0.003456,1054,64.1
67,68608,-106.6840,50.0,0.0000,2.1788,-0.007363,212.372480,4.131656,0.004334,1054,65.1
68,69632,-105.4547,50.0,0.0000,2.2076,-0.005954,210.847383,4.131640,0.002837,1054,66.0
69,70656,-103.2968,50.0,0.0000,2.1253,-0.007459,196.722398,4.129309,0.005220,1055,66.9
70,71680,-103.9862,50.0,0.0000,2.1225,-0.006692,240.187802,4.128721,0.005519,1055,67.9
71,72704,-103.7916,50.0,0.0000,2.0692,-0.004238,230.760798,4.128357,0.002006,1055,68.9
72,73728,-103.7519,50.0,0.0000,2.1260,-0.003520,186.113627,4.129276,0.002284,1056,69.8
73,74752,-105.4914,50.0,0.0000,2.1152,-0.006070,225.029151,4.128331,0.002729,1055,70.8
74,75776,-107.1191,50.0,0.0000,2.1497,-0.007028,222.896804,4.127220,0.004099,1056,71.7
75,76800,-107.8750,50.0,0.0000,2.1632,-0.005137,253.359162,4.127999,0.002902,1056,72.7
76,77824,-106.5233,50.0,0.0000,2.1956,-0.007264,211.452212,4.126603,0.002725,1055,73.8
77,78848,-108.1910,50.0,0.0000,2.1558,-0.004028,222.212794,4.124131,0.002713,1055,74.7
