iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
1,1024,-109.5199,50.0,0.0000,2.3381,-0.011399,378.961892,4.254877,0.006823,250,4.1
2,2048,-110.2423,50.0,0.0000,2.2811,-0.003877,387.313802,4.247344,0.002593,407,5.0
3,3072,-114.2381,50.0,0.0000,2.2650,-0.000330,439.628430,4.242788,0.002145,512,6.0
4,4096,-114.0004,50.0,0.0000,2.3023,-0.006291,374.392052,4.237056,0.004359,590,6.9
5,5120,-113.0439,50.0,0.0000,2.3024,-0.004394,345.076572,4.217604,0.004291,650,7.9
6,6144,-111.6650,50.0,0.0000,2.2643,-0.003907,304.233689,4.204449,0.003151,696,8.8
7,7168,-111.1930,50.0,0.0000,2.2257,-0.005633,330.312318,4.196703,0.004076,734,9.8
8,8192,-108.9577,50.0,0.0000,2.2167,-0.006527,356.112001,4.187132,0.004801,765,10.7
9,9216,-108.4305,50.0,0.0000,2.1529,-0.008213,348.388382,4.178910,0.005445,792,11.6
10,10240,-108.2035,50.0,0.0000,2.1285,-0.003151,317.665079,4.173271,0.003618,814,12.6
11,11264,-109.4468,50.0,0.0000,2.0870,-0.003307,337.420679,4.175926,0.003690,828,13.6
12,12288,-109.3287,50.0,0.0000,2.0879,-0.003826,291.451371,4.175422,0.002862,841,14.6
13,13312,-110.0413,50.0,0.0000,2.1477,-0.003379,330.821627,4.170661,0.003444,853,15.6
14,14336,-109.7876,50.0,0.0000,2.1808,-0.005439,304.927480,4.161859,0.003536,865,16.6
15,15360,-111.5403,50.0,0.0000,2.2377,-0.006395,352.206253,4.157188,0.004640,874,17.6
16,16384,-110.5220,50.0,0.0000,2.2350,-0.006549,288.846575,4.159067,0.003970,885,18.5
17,17408,-110.2872,50.0,0.0000,2.3119,-0.004467,311.058044,4.158678,0.003415,894,19.5
18,18432,-109.8333,50.0,0.0000,2.2248,-0.003811,328.526284,4.158800,0.003632,902,20.4
19,19456,-109.0435,50.0,0.0000,2.2150,-0.003843,290.909130,4.160511,0.002657,909,21.4
20,20480,-108.6876,50.0,0.0000,2.2075,-0.003517,311.858418,4.161313,0.002216,916,22.4
21,21504,-111.0975,50.0,0.0000,2.2973,-0.005455,343.174898,4.162694,0.004289,922,23.3
22,22528,-111.3569,50.0,0.0000,2.2374,-0.003492,286.515530,4.162365,0.002122,927,24.3
23,23552,-111.4562,50.0,0.0000,2.2621,-0.006058,298.691042,4.162719,0.004149,932,25.3
24,24576,-111.9340,50.0,0.0000,2.2992,-0.007010,318.434743,4.163629,0.004570,937,26.2
25,25600,-110.3639,50.0,0.0000,2.2567,-0.006162,288.361520,4.162498,0.002737,941,27.2
26,26624,-109.6052,50.0,0.0000,2.2584,-0.004221,322.600731,4.162596,0.003123,944,28.2
27,27648,-108.4104,50.0,0.0000,2.2681,-0.004823,283.799970,4.161383,0.002608,948,29.1
28,28672,-108.3287,50.0,0.0000,2.2429,-0.005612,271.666204,4.164578,0.003124,951,30.1
29,29696,-104.3622,50.0,0.0000,2.1584,-0.005806,193.790874,4.163755,0.001975,954,31.1
30,30720,-103.8687,50.0,0.0000,2.1134,-0.006747,247.732893,4.161759,0.003560,958,32.1
31,31744,-103.0113,50.0,0.0000,2.0435,-0.005177,284.067019,4.161292,0.002545,961,33.0
32,32768,-103.0037,50.0,0.0000,2.0190,-0.004868,255.986663,4.160200,0.001891,964,34.0
33,33792,-102.7569,50.0,0.0000,2.0108,-0.003868,304.609786,4.159656,0.002659,967,34.9
34,34816,-105.6625,50.0,0.0000,2.0771,-0.005809,239.882038,4.158218,0.003381,969,35.9
35,35840,-104.5703,50.0,0.0000,2.1129,-0.004958,230.830232,4.158308,0.002269,971,36.9
36,36864,-103.7688,50.0,0.0000,2.0814,-0.004412,250.187879,4.159070,0.001954,973,37.9
37,37888,-103.6498,50.0,0.0000,2.0967,-0.004051,229.078366,4.158377,0.002140,975,38.8
38,38912,-102.9291,50.0,0.0000,2.1007,-0.007208,252.334253,4.156101,0.004346,976,39.8
39,39936,-104.0669,50.0,0.0000,2.0936,-0.004946,244.803401,4.154744,0.002320,978,40.8
40,40960,-104.8525,50.0,0.0000,2.0946,-0.004450,255.936659,4.153282,0.002317,979,41.8
41,41984,-105.2483,50.0,0.0000,2.1342,-0.006746,279.912054,4.151817,0.003052,981,42.8
42,43008,-107.0297,50.0,0.0000,2.1743,-0.006622,296.657039,4.152017,0.003699,982,43.8
43,44032,-106.6710,50.0,0.0000,2.1565,-0.005791,267.233450,4.152454,0.001876,984,44.7
44,45056,-108.2658,50.0,0.0000,2.1706,-0.005619,264.093953,4.152807,0.002764,985,45.7
45,46080,-108.2803,50.0,0.0000,2.1604,-0.005642,214.599541,4.152953,0.002009,987,46.7
46,47104,-106.3828,50.0,0.0000,2.0990,-0.004034,232.826809,4.151666,0.002074,988,47.7
47,48128,-104.0484,50.0,0.0000,2.0576,-0.002900,192.970421,4.150564,0.001363,989,48.6
48,49152,-103.5915,50.0,0.0000,2.0655,-0.005974,251.507743,4.150055,0.002021,991,49.6
49,50176,-101.1359,50.0,0.0000,2.0150,-0.006255,233.412944,4.148569,0.002965,993,50.5
50,51200,-102.1055,50.0,0.0000,2.0638,-0.006900,204.874255,4.147995,0.002389,994,51.5
51,52224,-101.4878,50.0,0.0000,2.0385,-0.004474,259.674538,4.149143,0.001689,995,52.4
52,53248,-102.6063,50.0,0.0000,2.0154,-0.004778,208.421672,4.149340,0.001883,997,53.4
53,54272,-101.2319,50.0,0.0000,1.9928,-0.004977,213.949905,4.150288,0.001449,998,54.4
54,55296,-101.3959,50.0,0.0000,2.0386,-0.003380,214.386123,4.150263,0.001166,999,55.3
55,56320,-102.2785,50.0,0.0000,2.0134,-0.003769,207.988277,4.148810,0.001291,1000,56.3
56,57344,-102.4237,50.0,0.0000,1.9342,-0.005312,224.870494,4.147888,0.001614,1001,57.3
57,58368,-102.2972,50.0,0.0000,1.9313,-0.008279,188.764411,4.149211,0.002654,1000,58.3
58,59392,-101.1352,50.0,0.0000,1.8549,-0.005735,204.451653,4.149438,0.002009,1000,59.4
59,60416,-98.3015,50.0,0.0000,1.7494,-0.006440,195.799697,4.149817,0.002896,999,60.4
60,61440,-95.1057,50.0,0.0000,1.7479,-0.003710,149.605554,4.150204,0.001418,999,61.5
61,62464,-93.2599,50.0,0.0000,1.7822,-0.003601,174.581452,4.148621,0.001101,1000,62.5
62,63488,-91.6540,50.0,0.0000,1.6875,-0.006368,136.938416,4.146736,0.002502,1001,63.4
63,64512,-91.0860,50.0,0.0000,1.6986,-0.004234,177.978477,4.146160,0.001742,1002,64.4
64,65536,-90.6684,50.0,0.0000,1.6939,-0.003887,176.445657,4.145731,0.000987,1003,65.3
65,66560,-91.8139,50.0,0.0000,1.6742,-0.003658,166.100203,4.145637,0.001460,1003,66.3
66,67584,-92.2727,50.0,0.0000,1.6598,-0.002733,198.393391,4.145177,0.000696,1003,67.3
67,68608,-93.5882,50.0,0.0000,1.6509,-0.005320,172.599781,4.145160,0.002563,1004,68.3
68,69632,-92.1851,50.0,0.0000,1.6543,-0.004593,150.576618,4.144756,0.001501,1005,69.3
69,70656,-89.8282,50.0,0.0000,1.5926,-0.004807,143.181452,4.142621,0.001448,1006,70.2
70,71680,-90.6592,50.0,0.0000,1.6249,-0.007291,172.984798,4.141693,0.003362,1006,71.2
71,72704,-88.8552,50.0,0.0000,1.6183,-0.005259,160.069091,4.142151,0.002231,1007,72.1
