iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
60,491520,-53.5097,50.0,0.0000,0.7641,-0.003127,48.435463,4.035701,0.003226,4267,115.2
61,499712,-54.0008,50.0,0.0000,0.7578,-0.003036,48.138621,4.032313,0.002980,4265,117.2
62,507904,-49.0062,50.0,0.0000,0.7482,-0.003173,44.117356,4.031084,0.002754,4261,119.2
63,516096,-50.0328,50.0,0.0000,0.7641,-0.003294,44.594049,4.029539,0.003394,4260,121.1
64,524288,-47.8053,50.0,0.0200,0.7360,-0.003667,41.303813,4.027369,0.003588,4261,123.0
65,532480,-46.6716,50.0,0.0000,0.7192,-0.002505,44.958446,4.022725,0.002772,4261,124.9
66,540672,-51.7894,50.0,0.0000,0.7357,-0.002524,48.416625,4.019885,0.003224,4261,126.9
67,548864,-48.0887,50.0,0.0000,0.7237,-0.003937,42.662991,4.015990,0.004005,4259,128.9
68,557056,-49.1826,50.0,0.0000,0.7052,-0.002008,44.660780,4.012280,0.002819,4259,130.8
69,565248,-47.6426,50.0,0.0000,0.7095,-0.003222,40.913909,4.009093,0.003201,4258,132.7
70,573440,-48.1827,50.0,0.0000,0.7279,-0.003306,41.398238,4.005405,0.003779,4258,134.7
71,581632,-44.8859,50.0,0.0000,0.6671,-0.003610,37.800244,3.998134,0.004106,4257,136.6
72,589824,-46.8556,50.0,0.0000,0.7230,-0.003203,40.105791,3.990253,0.003881,4258,138.5
73,598016,-48.6967,50.0,0.0000,0.7017,-0.003377,43.655081,3.988123,0.003916,4257,140.5
74,606208,-45.6744,50.0,0.0000,0.6562,-0.003052,41.744374,3.987863,0.003538,4257,142.4
75,614400,-49.0362,50.0,0.0100,0.7003,-0.003318,45.583298,3.989604,0.003719,4257,144.3
76,622592,-44.0377,50.0,0.0100,0.6626,-0.003390,39.069933,3.985087,0.004027,4257,146.2
77,630784,-50.2351,50.0,0.0100,0.7381,-0.002397,44.303815,3.977787,0.003000,4256,148.2
78,638976,-47.3615,50.0,0.0100,0.7259,-0.004081,41.328907,3.972288,0.003960,4254,150.2
79,647168,-43.1109,50.0,0.0200,0.6209,-0.003685,36.833522,3.973142,0.004059,4255,152.1
80,655360,-48.3935,50.0,0.0000,0.6420,-0.004069,42.111160,3.974886,0.004130,4253,154.1
81,663552,-46.3730,50.0,0.0100,0.6393,-0.002448,39.559790,3.969297,0.003361,4251,156.1
82,671744,-42.6509,50.0,0.0000,0.6527,-0.004327,39.325185,3.962469,0.004545,4248,158.1
83,679936,-43.5990,50.0,0.0000,0.6182,-0.004470,39.902013,3.964539,0.004126,4247,160.1
84,688128,-44.3098,50.0,0.0000,0.6550,-0.004214,40.467153,3.970100,0.003792,4244,162.1
85,696320,-46.3482,50.0,0.0000,0.6162,-0.004262,41.755978,3.970457,0.004351,4245,164.0
86,704512,-43.9503,50.0,0.0000,0.6923,-0.003353,36.741323,3.967489,0.003887,4244,166.0
87,712704,-44.3024,50.0,0.0000,0.6052,-0.004830,37.337557,3.963181,0.004570,4245,167.9
88,720896,-41.9209,50.0,0.0000,0.6307,-0.003828,36.208013,3.958734,0.004195,4244,169.8
89,729088,-43.5649,50.0,0.0000,0.6440,-0.003286,38.765274,3.950034,0.003971,4245,171.7
90,737280,-44.1449,50.0,0.0000,0.5926,-0.003409,39.919787,3.946852,0.003865,4245,173.7
91,745472,-44.3735,50.0,0.0200,0.6439,-0.002801,38.045953,3.946900,0.003191,4244,175.6
92,753664,-43.3319,50.0,0.0000,0.6076,-0.004084,37.313645,3.942715,0.005070,4244,177.6
93,761856,-41.0579,50.0,0.0100,0.5613,-0.003260,35.269374,3.932356,0.003661,4245,179.5
94,770048,-40.9983,50.0,0.0000,0.5535,-0.004999,34.554250,3.925661,0.005413,4240,181.6
95,778240,-44.1928,50.0,0.0000,0.5792,-0.003541,37.476378,3.915947,0.004084,4237,183.6
96,786432,-40.7988,50.0,0.0100,0.5501,-0.004219,34.551285,3.904749,0.004025,4235,185.7
97,794624,-43.2563,50.0,0.0000,0.6583,-0.003349,35.111666,3.906718,0.004083,4233,187.7
98,802816,-42.5339,50.0,0.0000,0.6137,-0.003619,34.687036,3.900788,0.004029,4228,189.9
99,811008,-44.9820,50.0,0.0000,0.6888,-0.003604,37.063375,3.893992,0.003323,4226,191.9
100,819200,-41.1323,50.0,0.0100,0.5261,-0.004368,37.325553,3.892392,0.004084,4208,194.6
101,827392,-41.8628,50.0,0.0100,0.6408,-0.003010,36.054686,3.883069,0.003456,4206,196.7
102,835584,-42.9505,50.0,0.0200,0.6006,-0.003597,34.773395,3.876402,0.003628,4205,198.7
103,843776,-44.6686,50.0,0.0300,0.5839,-0.005278,35.012292,3.870993,0.004854,4204,200.7
104,851968,-41.5169,50.0,0.0000,0.5499,-0.003309,33.711484,3.864476,0.003207,4202,202.7
105,860160,-40.5472,50.0,0.0000,0.6046,-0.004698,31.457896,3.855734,0.004474,4199,204.8
106,868352,-42.1873,50.0,0.0100,0.5822,-0.004372,31.928451,3.843208,0.004610,4199,206.8
107,876544,-41.8077,50.0,0.0100,0.5830,-0.004393,31.774555,3.834655,0.004672,4195,208.9
108,884736,-39.8845,50.0,0.0000,0.5176,-0.003517,30.338900,3.833719,0.004381,4194,210.9
109,892928,-42.1374,50.0,0.0100,0.5582,-0.002782,32.694514,3.832592,0.003231,4192,213.0
110,901120,-43.8168,50.0,0.0100,0.6174,-0.004017,32.722002,3.821303,0.004082,4190,215.0
111,909312,-42.4357,50.0,0.0000,0.6504,-0.005073,32.615156,3.808881,0.004866,4189,217.0
112,917504,-43.3874,50.0,0.0000,0.6066,-0.003966,31.758298,3.805739,0.003577,4187,219.1
113,925696,-39.2898,50.0,0.0200,0.5318,-0.004400,27.490675,3.807017,0.004104,4184,221.2
114,933888,-42.7734,50.0,0.0200,0.5657,-0.003042,32.136815,3.810108,0.004352,4182,223.3
115,942080,-39.2007,50.0,0.0100,0.5383,-0.005554,29.184019,3.813407,0.005010,4180,225.4
116,950272,-38.9049,50.0,0.0000,0.5334,-0.004605,31.227943,3.806118,0.004803,4179,227.4
117,958464,-39.5020,50.0,0.0400,0.5426,-0.004128,31.174125,3.793943,0.004315,4178,229.4
118,966656,-39.4990,50.0,0.0000,0.5368,-0.004446,29.947346,3.788780,0.004215,4175,231.5
119,974848,-39.4638,50.0,0.0200,0.5091,-0.003529,26.894085,3.780610,0.003953,4174,233.5
120,983040,-38.9320,50.0,0.0000,0.4688,-0.002979,27.198636,3.773704,0.003646,4173,235.5
121,991232,-42.3589,50.0,0.0000,0.5724,-0.004042,27.645797,3.770670,0.004243,4172,237.6
122,999424,-40.7776,50.0,0.0100,0.5269,-0.004102,27.919849,3.770425,0.004296,4170,239.6
123,1007616,-39.0428,50.0,0.0400,0.4961,-0.005426,27.457581,3.768924,0.004706,4168,241.7
124,1015808,-37.6083,50.0,0.0100,0.5008,-0.003334,24.834239,3.763980,0.002972,4166,243.8
125,1024000,-38.5672,50.0,0.0000,0.5461,-0.003978,26.110207,3.757735,0.004171,4164,245.9
126,1032192,-41.9163,50.0,0.0200,0.5101,-0.003941,27.310812,3.754777,0.004042,4163,247.9
127,1040384,-39.4997,50.0,0.0100,0.5087,-0.005101,25.188952,3.751448,0.004496,4160,250.1
128,1048576,-39.2370,50.0,0.0000,0.5274,-0.004725,23.107702,3.750708,0.004145,4159,252.1
129,1056768,-42.1347,50.0,0.0000,0.4996,-0.002206,24.673906,3.752976,0.002904,4158,254.1
130,1064960,-41.9918,50.0,0.0100,0.5720,-0.003094,24.141574,3.751811,0.003479,4157,256.2
131,1073152,-39.5383,50.0,0.0100,0.5205,-0.003616,25.493901,3.749262,0.003895,4155,258.3
132,1081344,-37.7138,50.0,0.0100,0.4906,-0.004379,21.565031,3.745439,0.004357,4154,260.3
133,1089536,-39.9398,50.0,0.0200,0.4628,-0.003017,23.862155,3.741070,0.003689,4153,262.3
134,1097728,-38.5189,50.0,0.0100,0.5579,-0.004880,22.504883,3.736171,0.004917,4153,264.3
135,1105920,-36.6820,50.0,0.0300,0.5029,-0.004129,19.777491,3.732323,0.004109,4152,266.3
