#{"t_start": 1774404020.1122737, "env_id": "None"}
r,l,t
-15.0,100,568.401478
-17.0,100,570.500237
-9.0,100,572.522936
-12.0,100,574.549071
-16.0,100,576.681637
-11.0,100,578.856239
-10.0,100,581.017275
-25.0,100,583.135264
-18.0,100,585.218074
-16.0,100,587.392982
-13.0,100,589.460872
-19.0,100,591.610526
-13.0,100,593.664408
-16.0,100,595.722044
-28.0,100,597.795951
-7.0,100,599.826554
-16.0,100,601.864326
-11.0,100,603.910096
-12.0,100,605.948754
-13.0,100,608.064085
-13.0,100,610.112556
-13.0,100,612.188982
-13.0,100,614.243343
-9.0,100,616.266344
-18.0,100,618.321922
-17.0,100,620.380521
-15.0,100,622.430554
-19.0,100,624.462375
-14.0,100,626.511528
-95.0,100,628.585666
-14.0,100,630.686307
-17.0,100,632.783796
-13.0,100,634.837004
-45.0,100,636.921419
-23.0,100,638.997335
-9.0,100,641.052074
-12.0,100,643.08501
-14.0,100,652.500051
-22.0,100,654.585822
-13.0,100,656.62761
-19.0,100,658.727384
-14.0,100,660.802416
-13.0,100,662.858661
-15.0,100,664.922814
-27.0,100,666.983208
-15.0,100,669.089129
-14.0,100,670.795323
-27.0,100,672.791967
-17.0,100,674.832349
-13.0,100,676.880032
-19.0,100,678.946492
-7.0,100,680.983194
-17.0,100,683.023944
-17.0,100,685.039378
-9.0,100,687.085201
-14.0,100,689.112475
-18.0,100,691.201494
-9.0,100,693.235067
-14.0,100,695.296963
-13.0,100,697.357607
-13.0,100,699.420727
-17.0,100,701.487901
-6.0,100,703.552092
-18.0,100,705.581183
-9.0,100,707.646642
-12.0,100,709.726743
-19.0,100,711.793495
-12.0,100,713.830466
-12.0,100,715.912884
-15.0,100,717.963719
-13.0,100,720.026324
-99.0,100,722.097497
-45.0,100,724.187802
-24.0,100,726.241404
-37.0,100,728.279284
-9.0,100,730.329764
-11.0,100,732.373802
-10.0,100,734.420059
-12.0,100,736.445381
-7.0,100,738.482795
-18.0,100,740.518113
-22.0,100,742.53252
-29.0,100,744.571561
-20.0,100,746.589157
-20.0,100,748.645019
-17.0,100,750.695973
-13.0,100,752.740391
-7.0,100,762.256244
-7.0,100,764.301566
-8.0,100,766.343262
-13.0,100,768.360718
-10.0,100,770.397723
-9.0,100,772.437209
-5.0,100,774.475184
-7.0,100,776.411128
-15.0,100,777.810402
-15.0,100,779.214533
-12.0,100,780.621253
-21.0,100,782.013458
-19.0,100,783.37367
-11.0,100,784.766601
-14.0,100,786.16498
-11.0,100,787.570395
-12.0,100,788.97062
-17.0,100,790.367638
-54.0,100,791.750452
-15.0,100,793.141187
-17.0,100,795.178091
-12.0,100,797.245609
-15.0,100,799.305741
-10.0,100,801.38442
-8.0,100,803.437679
-8.0,100,805.520935
-12.0,100,807.599423
-8.0,100,809.296931
-16.0,100,810.694096
-16.0,100,812.073634
-16.0,100,813.453273
-18.0,100,814.856345
-7.0,100,816.260155
-14.0,100,817.66676
-11.0,100,819.070728
-13.0,100,820.481452
-15.0,100,822.316869
-12.0,100,824.374975
-13.0,100,826.411542
-12.0,100,828.42849
-16.0,100,830.462591
-21.0,100,832.438327
-13.0,100,834.42166
-18.0,100,836.441439
-11.0,100,838.456697
-13.0,100,840.509454
-25.0,100,842.547543
-13.0,100,844.542782
-8.0,100,846.622567
-13.0,100,848.674102
-48.0,100,858.205042
-12.0,100,860.34996
-8.0,100,862.447603
-14.0,100,864.550107
-8.0,100,866.604308
-10.0,100,868.662642
-9.0,100,870.707603
-16.0,100,872.765097
-6.0,100,874.30599
-12.0,100,875.695125
-16.0,100,877.091526
-16.0,100,878.494978
-11.0,100,879.906312
-20.0,100,881.290713
-10.0,100,882.677763
-13.0,100,884.056206
-10.0,100,885.464139
-7.0,100,886.862136
-15.0,100,888.259359
-11.0,100,889.645098
-12.0,100,891.042122
-14.0,100,892.419109
-29.0,100,893.786062
-17.0,100,895.163222
-14.0,100,896.523821
-16.0,100,897.890579
-23.0,100,899.328563
-8.0,100,900.723118
-14.0,100,902.101563
-13.0,100,903.483608
-14.0,100,904.874239
-10.0,100,906.231064
-12.0,100,907.613993
-13.0,100,908.992242
-9.0,100,910.394212
-12.0,100,911.802767
-14.0,100,913.172913
-9.0,100,914.588951
-7.0,100,915.962062
-12.0,100,917.339641
-9.0,100,918.727174
-10.0,100,920.109957
-22.0,100,921.529494
-12.0,100,923.465375
-13.0,100,925.521321
-9.0,100,927.881056
-15.0,100,930.122293
-19.0,100,931.85016
-16.0,100,933.529916
-18.0,100,935.654301
-12.0,100,945.466284
-15.0,100,947.965295
-17.0,100,950.49245
-13.0,100,952.971209
-14.0,100,955.140188
-10.0,100,957.228178
-9.0,100,959.266608
-16.0,100,961.497552
-16.0,100,963.692481
-15.0,100,965.790122
-15.0,100,967.852115
-10.0,100,969.88764
-8.0,100,971.961751
-10.0,100,974.349526
-9.0,100,976.421619
-29.0,100,978.479076
-18.0,100,980.520734
-28.0,100,982.578572
-7.0,100,984.890738
-27.0,100,987.401264
-8.0,100,989.857153
-15.0,100,992.341184
-14.0,100,994.903964
-8.0,100,997.461636
-8.0,100,999.974021
-8.0,100,1002.030525
-15.0,100,1004.085966
-16.0,100,1006.133596
-23.0,100,1008.192954
-17.0,100,1010.42192
-15.0,100,1012.816558
-20.0,100,1014.710576
-16.0,100,1016.62688
-16.0,100,1018.581098
-22.0,100,1020.52339
-24.0,100,1022.507522
-11.0,100,1024.425081
-14.0,100,1026.343472
-12.0,100,1028.268531
-6.0,100,1030.169575
-7.0,100,1032.162481
-9.0,100,1034.223486
-16.0,100,1036.144931
-35.0,100,1038.065909
-17.0,100,1040.011939
-13.0,100,1042.030907
-17.0,100,1043.921904
-11.0,100,1045.817935
-17.0,100,1047.757079
-20.0,100,1049.675259
-18.0,100,1058.648376
-14.0,100,1060.569406
-15.0,100,1062.501891
-16.0,100,1064.531535
-9.0,100,1066.523958
-13.0,100,1068.505012
-71.0,100,1070.589116
-14.0,100,1072.67614
-14.0,100,1074.738701
-19.0,100,1076.702572
-5.0,100,1078.7192
-49.0,100,1080.807341
-15.0,100,1082.846412
-16.0,100,1084.88916
-24.0,100,1086.993911
-8.0,100,1089.053527
-20.0,100,1091.111199
-22.0,100,1093.17317
-7.0,100,1095.185743
-4.0,100,1097.158726
-17.0,100,1099.14729
-7.0,100,1101.242157
-19.0,100,1103.298537
-11.0,100,1105.337675
-15.0,100,1107.339479
-18.0,100,1109.351601
-13.0,100,1111.390794
-38.0,100,1113.436779
-26.0,100,1115.45219
-15.0,100,1117.502532
-11.0,100,1119.532852
-6.0,100,1121.580869
-29.0,100,1123.610867
-10.0,100,1125.530061
-16.0,100,1127.516977
-17.0,100,1129.564945
-15.0,100,1131.563548
-17.0,100,1133.57661
-19.0,100,1135.520345
-19.0,100,1137.445634
-9.0,100,1139.502305
-9.0,100,1141.508443
-25.0,100,1143.602185
-12.0,100,1145.727124
-21.0,100,1147.809324
-18.0,100,1149.855866
-11.0,100,1151.90775
-12.0,100,1153.961318
-11.0,100,1156.02744
-14.0,100,1158.064814
-15.0,100,1167.542036
