#{"t_start": 1774403918.35652, "env_id": "None"}
r,l,t
-24.0,100,158.385006
-44.0,100,158.951553
-12.0,100,159.529651
-23.0,100,160.108806
-11.0,100,160.680453
-17.0,100,161.255674
-23.0,100,161.862761
-15.0,100,162.422209
-18.0,100,162.989092
-9.0,100,163.559322
-13.0,100,164.12538
-16.0,100,164.684114
-16.0,100,165.266982
-19.0,100,165.870557
-8.0,100,166.590879
-20.0,100,167.157431
-9.0,100,167.938596
-12.0,100,168.640523
-22.0,100,169.203531
-16.0,100,169.762958
-14.0,100,170.336918
-21.0,100,170.96591
-11.0,100,171.535737
-20.0,100,172.098688
-16.0,100,172.670698
-26.0,100,173.251015
-23.0,100,173.815924
-13.0,100,174.375673
-19.0,100,174.94264
-24.0,100,175.515766
-8.0,100,176.074294
-15.0,100,176.637733
-40.0,100,177.26877
-10.0,100,177.854055
-19.0,100,178.4245
-13.0,100,178.992674
-18.0,100,180.845154
-14.0,100,181.405042
-19.0,100,181.964991
-46.0,100,182.529491
-13.0,100,183.155826
-15.0,100,183.732966
-19.0,100,184.290465
-18.0,100,184.959608
-9.0,100,185.644934
-17.0,100,186.234806
-16.0,100,186.840893
-17.0,100,187.482897
-11.0,100,188.052172
-25.0,100,188.75598
-42.0,100,189.506646
-17.0,100,190.100739
-18.0,100,190.826661
-20.0,100,191.490581
-19.0,100,192.117193
-14.0,100,192.777099
-11.0,100,193.402061
-10.0,100,194.047862
-20.0,100,194.754305
-21.0,100,195.430816
-13.0,100,196.114919
-12.0,100,196.750013
-16.0,100,197.341837
-19.0,100,198.02607
-18.0,100,198.669695
-19.0,100,199.382979
-22.0,100,200.002946
-18.0,100,200.578256
-22.0,100,201.135962
-29.0,100,201.704955
-27.0,100,202.268438
-11.0,100,202.820527
-23.0,100,203.388371
-16.0,100,204.04233
-7.0,100,204.655242
-28.0,100,205.295417
-28.0,100,205.858851
-5.0,100,206.437254
-11.0,100,207.008015
-15.0,100,207.575576
-20.0,100,208.143387
-19.0,100,208.736292
-18.0,100,209.370546
-20.0,100,209.972344
-15.0,100,210.557475
-19.0,100,211.11729
-13.0,100,212.938789
-12.0,100,213.501298
-8.0,100,214.063909
-16.0,100,214.638319
-7.0,100,215.202763
-4.0,100,215.754333
-9.0,100,216.309698
-21.0,100,216.872961
-25.0,100,217.496708
-15.0,100,218.046352
-38.0,100,218.601629
-14.0,100,219.178873
-14.0,100,219.740691
-18.0,100,220.30105
-14.0,100,220.860197
-13.0,100,221.423176
-20.0,100,221.981507
-27.0,100,222.532068
-15.0,100,223.104245
-13.0,100,223.666651
-21.0,100,224.226257
-17.0,100,224.880442
-33.0,100,225.448239
-20.0,100,226.019634
-7.0,100,226.579826
-7.0,100,227.134141
-26.0,100,227.691482
-11.0,100,228.253842
-31.0,100,228.814885
-14.0,100,229.369338
-18.0,100,229.926898
-14.0,100,230.507562
-15.0,100,231.134561
-16.0,100,231.696309
-32.0,100,232.25462
-18.0,100,232.81711
-13.0,100,233.378263
-16.0,100,233.931877
-20.0,100,234.487419
-13.0,100,235.049141
-19.0,100,235.615086
-27.0,100,236.170581
-19.0,100,236.72413
-29.0,100,237.299752
-18.0,100,237.865297
-25.0,100,238.421114
-18.0,100,238.980148
-16.0,100,239.560901
-17.0,100,240.134116
-22.0,100,240.718643
-13.0,100,242.616515
-7.0,100,243.223746
-12.0,100,243.831024
-21.0,100,244.399091
-15.0,100,244.967997
-18.0,100,245.5398
-10.0,100,246.1082
-11.0,100,246.666762
-15.0,100,247.227478
-12.0,100,247.881089
-18.0,100,248.450145
-22.0,100,249.097054
-18.0,100,249.675896
-15.0,100,250.251274
-15.0,100,250.826592
-12.0,100,251.387012
-14.0,100,251.973059
-20.0,100,252.551042
-12.0,100,253.136806
-18.0,100,253.700809
-10.0,100,254.264835
-23.0,100,254.841814
-22.0,100,255.417187
-15.0,100,256.044663
-33.0,100,256.60585
-16.0,100,257.182754
-17.0,100,257.750438
-29.0,100,258.505727
-18.0,100,259.125004
-18.0,100,259.731565
-24.0,100,260.310112
-14.0,100,260.87256
-22.0,100,261.440854
-19.0,100,262.064039
-7.0,100,262.865291
-13.0,100,263.455967
-14.0,100,264.139633
-20.0,100,264.887704
-13.0,100,265.616807
-16.0,100,266.409392
-19.0,100,267.1577
-21.0,100,267.778592
-23.0,100,268.402897
-13.0,100,269.083743
-19.0,100,269.696695
-16.0,100,270.32175
-18.0,100,270.913826
-24.0,100,271.647479
-13.0,100,272.481928
-14.0,100,273.15798
-37.0,100,275.168344
-16.0,100,275.806005
-18.0,100,276.428295
-19.0,100,277.102355
-14.0,100,277.738716
-23.0,100,278.367633
-13.0,100,279.063919
-18.0,100,279.696197
-18.0,100,280.337551
-19.0,100,281.044127
-19.0,100,281.779382
-17.0,100,282.352579
-19.0,100,283.028919
-21.0,100,283.640569
-13.0,100,284.20665
-25.0,100,284.774334
-30.0,100,285.34562
-23.0,100,285.89973
-11.0,100,286.485107
-19.0,100,287.100566
-28.0,100,287.768121
-12.0,100,288.36028
-11.0,100,288.931981
-12.0,100,289.501856
-16.0,100,290.076362
-8.0,100,290.691447
-17.0,100,291.317207
-17.0,100,291.909033
-26.0,100,292.492675
-19.0,100,293.076036
-17.0,100,293.697605
-18.0,100,294.330712
-24.0,100,294.902572
-9.0,100,295.688713
-17.0,100,296.306682
-30.0,100,296.880611
-13.0,100,297.513229
-13.0,100,298.117559
-11.0,100,298.717332
-13.0,100,299.34308
-39.0,100,299.947071
-10.0,100,300.584662
-10.0,100,301.160743
-15.0,100,301.854432
-16.0,100,302.478297
-17.0,100,303.140421
-25.0,100,303.72579
-11.0,100,304.340531
-16.0,100,304.944852
-19.0,100,305.573702
-22.0,100,307.470024
-12.0,100,308.045331
-15.0,100,308.621379
-15.0,100,309.201867
-20.0,100,309.765463
-31.0,100,310.346373
-26.0,100,310.912022
-11.0,100,311.468238
-30.0,100,312.031409
-23.0,100,312.602692
-8.0,100,313.187298
-22.0,100,313.744487
-18.0,100,314.333064
-15.0,100,314.951673
-13.0,100,315.526701
-18.0,100,316.085509
-20.0,100,316.656098
-21.0,100,317.241408
-17.0,100,317.805602
-15.0,100,318.366253
-12.0,100,318.940417
-10.0,100,319.52007
-17.0,100,320.091388
-13.0,100,320.662692
-20.0,100,321.226207
-24.0,100,321.798601
-11.0,100,322.367816
-9.0,100,322.926739
-17.0,100,323.491603
-35.0,100,324.058332
-13.0,100,324.622926
-18.0,100,325.19112
-20.0,100,325.763911
-17.0,100,326.335989
-16.0,100,326.901647
-18.0,100,327.463186
-13.0,100,328.024494
-27.0,100,328.595835
-19.0,100,329.222403
-22.0,100,329.778671
-13.0,100,330.360521
-18.0,100,330.932423
-19.0,100,331.502519
-17.0,100,332.060688
-19.0,100,332.624056
-22.0,100,333.192731
-19.0,100,333.766147
-16.0,100,334.325547
-16.0,100,334.888734
-23.0,100,335.468888
-27.0,100,337.308373
-16.0,100,337.884779
-25.0,100,338.45581
-15.0,100,339.022889
-12.0,100,339.646358
-12.0,100,340.213335
-15.0,100,340.816641
-9.0,100,341.390131
-23.0,100,341.966298
-21.0,100,342.540521
-25.0,100,343.108932
-11.0,100,343.677774
-11.0,100,344.250212
-20.0,100,344.80787
-18.0,100,345.379099
-10.0,100,345.95048
-15.0,100,346.524871
-17.0,100,347.082926
-15.0,100,347.646726
-30.0,100,348.230866
-23.0,100,348.802506
-19.0,100,349.417003
-23.0,100,349.988217
-11.0,100,350.574372
-12.0,100,351.144062
-31.0,100,351.705471
-12.0,100,352.271524
-16.0,100,352.861525
-12.0,100,353.43047
-17.0,100,353.992586
-15.0,100,354.563882
-21.0,100,355.133936
-12.0,100,355.711569
-19.0,100,356.395684
-13.0,100,357.010371
-16.0,100,357.582263
-18.0,100,358.151502
-16.0,100,358.711146
-22.0,100,359.29514
-14.0,100,359.871649
-11.0,100,360.517528
-18.0,100,361.081431
-15.0,100,361.651186
-13.0,100,362.226377
-17.0,100,362.859571
-10.0,100,363.425058
-35.0,100,363.988778
-9.0,100,364.578178
-17.0,100,365.165507
-15.0,100,365.730566
-12.0,100,367.566306
-23.0,100,368.138068
-24.0,100,368.707471
-7.0,100,369.267586
-19.0,100,369.846425
-7.0,100,370.442182
-15.0,100,371.00731
-17.0,100,371.640557
-17.0,100,372.206686
-10.0,100,372.777646
-33.0,100,373.347864
-20.0,100,373.912522
-25.0,100,374.490491
-10.0,100,375.068016
-25.0,100,375.66099
-19.0,100,376.226603
-14.0,100,376.791622
-10.0,100,377.361767
-30.0,100,377.934965
-21.0,100,378.495272
-12.0,100,379.060458
-21.0,100,379.635522
-19.0,100,380.215594
-22.0,100,380.775187
-8.0,100,381.355073
-19.0,100,381.936637
-20.0,100,382.50896
-22.0,100,383.075195
-17.0,100,383.708131
-17.0,100,384.286739
-17.0,100,384.85903
-14.0,100,385.424854
-25.0,100,386.002708
-14.0,100,386.582626
-13.0,100,387.149305
-6.0,100,387.709152
-20.0,100,388.274255
-24.0,100,388.850745
-13.0,100,389.420375
-12.0,100,389.980996
-8.0,100,390.553549
-34.0,100,391.128161
-29.0,100,391.766077
-57.0,100,392.329163
-19.0,100,392.914376
-19.0,100,393.488613
-16.0,100,394.055283
-16.0,100,394.615441
-22.0,100,395.189064
-11.0,100,395.764689
-24.0,100,397.651457
-18.0,100,398.234325
-15.0,100,398.816859
-24.0,100,399.394967
-19.0,100,399.956528
-8.0,100,400.525187
-15.0,100,401.091625
-12.0,100,401.670926
-11.0,100,402.247289
-13.0,100,402.905255
-14.0,100,403.671779
-11.0,100,404.269281
-9.0,100,404.852474
-21.0,100,405.429239
-15.0,100,406.006945
-38.0,100,406.586454
-15.0,100,407.166383
-21.0,100,407.738618
-16.0,100,408.327326
-20.0,100,408.922747
-17.0,100,409.567199
-17.0,100,410.139751
-21.0,100,410.763305
-22.0,100,411.418362
-16.0,100,412.015975
-8.0,100,412.58322
-20.0,100,413.156805
-22.0,100,413.761762
-20.0,100,414.424295
-22.0,100,415.081024
-14.0,100,415.708393
-11.0,100,416.308481
-10.0,100,416.950206
-14.0,100,417.521791
-13.0,100,418.108778
