iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
60,245760,-58.5178,50.0,0.0000,0.9549,-0.009768,52.470505,3.160581,0.011501,2937,83.7
61,249856,-59.8801,50.0,0.0000,0.9225,-0.009442,64.410279,3.109685,0.014406,2941,85.0
62,253952,-58.5287,50.0,0.0000,0.8370,-0.008768,54.062099,3.092473,0.017102,2945,86.2
63,258048,-55.6837,50.0,0.0000,0.8170,-0.015520,48.029236,3.071182,0.015370,2947,87.5
64,262144,-53.7819,50.0,0.0000,0.8117,-0.010925,46.952282,3.070232,0.015063,2951,88.8
65,266240,-54.0497,50.0,0.0100,0.7951,-0.009591,50.287441,3.064478,0.013136,2954,90.1
66,270336,-60.1678,50.0,0.0100,0.8341,-0.011744,59.563674,3.051497,0.012536,2957,91.4
67,274432,-55.3685,50.0,0.0000,0.8232,-0.014439,53.378118,3.021759,0.013140,2961,92.7
68,278528,-54.1813,50.0,0.0000,0.7488,-0.011121,44.686134,2.995095,0.012288,2965,93.9
69,282624,-52.1010,50.0,0.0000,0.7555,-0.010931,38.031922,2.970861,0.013572,2968,95.2
70,286720,-50.4727,50.0,0.0000,0.7997,-0.011572,37.030780,2.960228,0.009805,2972,96.5
71,290816,-49.1186,50.0,0.0000,0.7426,-0.014770,33.713247,2.953189,0.010923,2975,97.7
72,294912,-49.1205,50.0,0.0000,0.7556,-0.013614,29.136722,2.928721,0.012289,2978,99.0
73,299008,-50.6169,50.0,0.0100,0.7458,-0.012540,34.317309,2.918340,0.014970,2981,100.3
74,303104,-48.1839,50.0,0.0000,0.7209,-0.011017,32.949167,2.926755,0.014815,2985,101.5
75,307200,-53.1122,50.0,0.0000,0.7318,-0.015079,39.076974,2.901833,0.017657,2988,102.8
76,311296,-47.5321,50.0,0.0000,0.7113,-0.012655,26.231439,2.837836,0.018522,2991,104.1
77,315392,-49.6419,50.0,0.0000,0.6949,-0.014078,29.902301,2.773361,0.019062,2994,105.3
78,319488,-50.4409,50.0,0.0000,0.6906,-0.014920,32.411942,2.740795,0.018521,2997,106.6
79,323584,-47.1364,50.0,0.0100,0.6377,-0.010768,23.461834,2.729064,0.017091,3000,107.8
80,327680,-49.4058,50.0,0.0000,0.6460,-0.013134,28.956745,2.689604,0.016797,3003,109.1
81,331776,-45.6325,50.0,0.0100,0.6416,-0.014782,23.718425,2.653813,0.015526,3005,110.4
82,335872,-45.8277,50.0,0.0000,0.6943,-0.012017,27.531614,2.638061,0.017558,3008,111.6
83,339968,-45.5206,50.0,0.0000,0.5835,-0.013662,23.841949,2.635265,0.019300,3010,112.9
84,344064,-46.3264,50.0,0.0100,0.6172,-0.016708,23.386075,2.609276,0.019710,3013,114.2
85,348160,-46.7943,50.0,0.0000,0.6505,-0.013242,26.722310,2.553736,0.019079,3015,115.4
86,352256,-42.1395,50.0,0.0100,0.6118,-0.010530,19.969761,2.512692,0.019181,3018,116.7
87,356352,-44.4058,50.0,0.0000,0.5754,-0.011066,18.300877,2.485930,0.019214,3020,118.0
88,360448,-41.7452,50.0,0.0100,0.6030,-0.010309,19.613659,2.460869,0.015251,3022,119.3
89,364544,-42.3496,50.0,0.0100,0.6973,-0.014534,23.956595,2.437839,0.016326,3024,120.5
90,368640,-45.4650,50.0,0.0000,0.7041,-0.016398,27.666995,2.400746,0.015769,3027,121.8
91,372736,-43.9766,50.0,0.0000,0.5914,-0.018721,22.462758,2.383017,0.018495,3029,123.0
92,376832,-41.1955,50.0,0.0200,0.5623,-0.012962,19.165747,2.352953,0.016314,3031,124.3
93,380928,-42.5571,50.0,0.0100,0.5897,-0.012731,18.012081,2.300534,0.016367,3033,125.6
94,385024,-41.6793,50.0,0.0100,0.5921,-0.009583,16.467975,2.259959,0.021879,3034,126.9
95,389120,-43.6274,50.0,0.0100,0.5823,-0.014141,21.350395,2.207311,0.020870,3035,128.2
96,393216,-44.8014,50.0,0.0100,0.5649,-0.015740,19.135647,2.166922,0.014846,3035,129.5
97,397312,-43.3917,50.0,0.0100,0.5778,-0.011997,17.683162,2.159042,0.017225,3036,130.8
98,401408,-42.1707,50.0,0.0100,0.5559,-0.014790,16.223836,2.139787,0.015266,3037,132.1
99,405504,-42.0186,50.0,0.0100,0.6149,-0.012786,19.805628,2.112099,0.016889,3039,133.4
100,409600,-41.6378,50.0,0.0000,0.6100,-0.018082,17.462186,2.071860,0.018890,3040,134.7
101,413696,-40.4581,50.0,0.0000,0.5816,-0.010629,15.597348,2.026467,0.028026,3040,136.1
102,417792,-40.0651,50.0,0.0000,0.5934,-0.008485,16.970727,1.982778,0.023121,3041,137.4
103,421888,-41.0123,50.0,0.0000,0.5356,-0.008291,14.609698,1.965693,0.022658,3042,138.7
104,425984,-42.1310,50.0,0.0000,0.5606,-0.009456,15.444653,1.962756,0.021842,3042,140.0
105,430080,-41.1059,50.0,0.0200,0.5664,-0.010569,14.127618,1.926172,0.017668,3044,141.3
106,434176,-39.0879,50.0,0.0100,0.5376,-0.008497,12.233533,1.895844,0.023632,3046,142.5
107,438272,-41.5932,50.0,0.0000,0.5540,-0.005486,16.631519,1.870052,0.019182,3047,143.8
108,442368,-38.9820,50.0,0.0100,0.5036,-0.005604,14.295413,1.838807,0.024460,3047,145.1
109,446464,-37.3368,50.0,0.0100,0.5393,-0.003433,12.827790,1.831837,0.018489,3049,146.4
110,450560,-41.0890,50.0,0.0200,0.5122,-0.012465,16.051332,1.807024,0.021599,3049,147.7
111,454656,-41.4248,50.0,0.0000,0.5355,-0.008608,14.831044,1.788520,0.020136,3050,149.1
112,458752,-40.4426,50.0,0.0000,0.5731,-0.011052,16.186258,1.767314,0.022356,3050,150.4
113,462848,-37.0438,50.0,0.0200,0.5201,-0.012347,9.678776,1.739846,0.015197,3050,151.7
114,466944,-37.8448,50.0,0.0100,0.5145,-0.012023,14.851654,1.713058,0.020521,3051,153.0
115,471040,-37.8703,50.0,0.0100,0.5357,-0.006676,11.805968,1.696889,0.022520,3051,154.4
116,475136,-36.7578,50.0,0.0100,0.5318,-0.006329,16.651418,1.681575,0.021016,3052,155.6
